Cement (kg/m³),Water (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Blast Furnace Slag (kg/m³),Fly Ash (kg/m³),Superplasticizer (kg/m³),Age (day),Compressive strength (MPa)
540,162,1040,676,0,0,2.5,28,79.99
540,162,1055,676,0,0,2.5,28,61.89
332.5,228,932,594,142.5,0,0,270,40.27
332.5,228,932,594,142.5,0,0,365,41.05
198.6,192,978.4,825.5,132.4,0,0,360,44.3
266,228,932,670,114,0,0,90,47.03
380,228,932,594,95,0,0,365,43.7
380,228,932,594,95,0,0,28,36.45
266,228,932,670,114,0,0,28,45.85
475,228,932,594,0,0,0,28,39.29
198.6,192,978.4,825.5,132.4,0,0,90,38.07
198.6,192,978.4,825.5,132.4,0,0,28,28.02
427.5,228,932,594,47.5,0,0,270,43.01
190,228,932,670,190,0,0,90,42.33
304,228,932,670,76,0,0,28,47.81
380,228,932,670,0,0,0,90,52.91
139.6,192,1047,806.9,209.4,0,0,90,39.36
342,228,932,670,38,0,0,365,56.14
380,228,932,594,95,0,0,90,40.56
475,228,932,594,0,0,0,180,42.62
427.5,228,932,594,47.5,0,0,180,41.84
139.6,192,1047,806.9,209.4,0,0,28,28.24
139.6,192,1047,806.9,209.4,0,0,3,8.06
139.6,192,1047,806.9,209.4,0,0,180,44.21
380,228,932,670,0,0,0,365,52.52
380,228,932,670,0,0,0,270,53.3
380,228,932,594,95,0,0,270,41.15
342,228,932,670,38,0,0,180,52.12
427.5,228,932,594,47.5,0,0,28,37.43
475,228,932,594,0,0,0,7,38.6
304,228,932,670,76,0,0,365,55.26
266,228,932,670,114,0,0,365,52.91
198.6,192,978.4,825.5,132.4,0,0,180,41.72
475,228,932,594,0,0,0,270,42.13
190,228,932,670,190,0,0,365,53.69
237.5,228,932,594,237.5,0,0,270,38.41
237.5,228,932,594,237.5,0,0,28,30.08
332.5,228,932,594,142.5,0,0,90,37.72
475,228,932,594,0,0,0,90,42.23
237.5,228,932,594,237.5,0,0,180,36.25
342,228,932,670,38,0,0,90,50.46
427.5,228,932,594,47.5,0,0,365,43.7
237.5,228,932,594,237.5,0,0,365,39
380,228,932,670,0,0,0,180,53.1
427.5,228,932,594,47.5,0,0,90,41.54
427.5,228,932,594,47.5,0,0,7,35.08
349,192,1047,806.9,0,0,0,3,15.05
380,228,932,594,95,0,0,180,40.76
237.5,228,932,594,237.5,0,0,7,26.26
380,228,932,594,95,0,0,7,32.82
332.5,228,932,594,142.5,0,0,180,39.78
190,228,932,670,190,0,0,180,46.93
237.5,228,932,594,237.5,0,0,90,33.12
304,228,932,670,76,0,0,90,49.19
139.6,192,1047,806.9,209.4,0,0,7,14.59
198.6,192,978.4,825.5,132.4,0,0,7,14.64
